2, 628, 934, 1
3, 377, 922, 1
4, 355, 895, 1
5, 199, 850, 1
6, 170, 816, 1
7, 150, 787, 1
8, 867, 714, 1
9, 64, 634, 1
10, 931, 581, 1
11, 69, 483, 1
12, 57, 468, 1
13, 35, 459, 1
13, 35, 463, 1
14, 36, 454, 1
15, 870, 434, 1
16, 110, 428, 1
17, 927, 424, 1
18, 85, 422, 1
19, 82, 413, 1
20, 63, 402, 1
21, 86, 391, 1
22, 59, 383, 1
23, 57, 363, 1
24, 64, 361, 1
25, 63, 348, 1
26, 126, 346, 1
27, 78, 334, 1
28, 128, 329, 1
29, 121, 329, 1
30, 86, 304, 1
30, 86, 304, 2
31, 109, 303, 1
31, 109, 303, 2
32, 221, 287, 1
33, 109, 282, 1
34, 101, 282, 1
34, 101, 283, 1
35, 95, 278, 1
36, 171, 277, 1
37, 110, 258, 1
38, 856, 249, 1
39, 121, 242, 1
40, 127, 238, 1
40, 127, 238, 2
41, 125, 233, 1
42, 132, 226, 1
43, 819, 222, 1
44, 772, 207, 1
45, 159, 202, 1
46, 188, 196, 1
47, 174, 187, 1
48, 167, 187, 1
49, 194, 184, 1
50, 688, 181, 1
51, 175, 175, 1
52, 209, 170, 1
53, 203, 165, 1
54, 221, 161, 1
55, 202, 159, 1
56, 211, 157, 1
57, 710, 126, 1
58, 287, 126, 1
58, 288, 126, 1
59, 717, 120, 1
60, 265, 110, 1
61, 285, 107, 1
62, 692, 102, 1
63, 631, 94, 1
64, 433, 87, 1
65, 545, 84, 1
66, 553, 74, 1
67, 453, 67, 1
67, 454, 67, 1
68, 440, 60, 1
69, 477, 57, 1
70, 533, 54, 1
71, 490, 899, 2
72, 170, 823, 2
73, 162, 766, 2
74, 870, 746, 2
75, 208, 724, 2
76, 46, 561, 2
77, 67, 528, 2
78, 53, 470, 2
79, 69, 424, 2
80, 103, 417, 2
81, 84, 356, 2
82, 87, 349, 2
83, 70, 347, 2
84, 74, 321, 2
85, 115, 283, 2
86, 105, 279, 2
87, 101, 276, 2
88, 106, 272, 2
88, 106, 273, 2
89, 194, 223, 2
90, 147, 215, 2
91, 194, 204, 2
92, 163, 197, 2
93, 236, 187, 2
94, 769, 168, 2
95, 198, 160, 2
96, 736, 157, 2
97, 288, 149, 2
98, 230, 140, 2
99, 456, 129, 2
100, 258, 127, 2
101, 337, 107, 2
101, 337, 107, 3
102, 613, 103, 2
103, 298, 98, 2
104, 635, 81, 2
105, 630, 79, 2
106, 417, 71, 2
107, 524, 69, 2
108, 649, 914, 3
109, 122, 768, 3
110, 121, 720, 3
111, 56, 499, 3
112, 88, 346, 3
113, 869, 301, 3
114, 89, 287, 3
115, 127, 270, 3
116, 191, 230, 3
117, 187, 190, 3
118, 262, 117, 3
119, 265, 113, 3
120, 376, 82, 3
121, 623, 937, 4
122, 146, 234, 4
123, 145, 216, 4
124, 232, 136, 4
125, 37, 547, 5
126, 108, 283, 5
127, 169, 230, 5
128, 158, 222, 5
129, 278, 106, 5
130, 91, 317, 6
131, 114, 248, 6
132, 150, 201, 7
133, 179, 200, 7
134, 285, 106, 15
134, 286, 107, 14
134, 286, 107, 15
134, 287, 106, 14
134, 287, 107, 14
134, 288, 107, 15
135, 284, 106, 16
135, 284, 106, 17
135, 285, 100, 15
135, 285, 100, 16
135, 285, 100, 17
135, 285, 106, 17
135, 285, 107, 16
135, 285, 107, 17
135, 286, 100, 14
135, 286, 100, 16
135, 286, 101, 14
135, 286, 101, 15
135, 286, 101, 17
135, 286, 102, 17
135, 286, 105, 17
135, 286, 106, 16
135, 286, 106, 17
135, 287, 100, 14
135, 287, 101, 16
135, 287, 101, 17
135, 287, 102, 16
135, 287, 105, 16
135, 287, 106, 16
135, 287, 107, 17
135, 288, 100, 15
135, 288, 100, 16
135, 288, 100, 17
135, 288, 101, 16
135, 288, 101, 17
135, 288, 107, 16
135, 289, 101, 15
136, 656, 480, 21
137, 592, 586, 24
138, 132, 290, 25
139, 560, 638, 27
140, 454, 806, 33
141, 419, 862, 35
142, 418, 860, 35
143, 368, 940, 38
144, 667, 97, 48
145, 284, 334, 69
145, 284, 334, 71
145, 285, 333, 70
145, 285, 334, 68
145, 285, 334, 69
145, 285, 335, 70
145, 285, 335, 71
145, 286, 328, 68
145, 286, 328, 69
145, 286, 328, 70
145, 286, 328, 71
145, 286, 332, 69
145, 286, 332, 70
145, 286, 332, 71
145, 286, 332, 72
145, 286, 333, 68
145, 286, 334, 73
145, 286, 335, 68
145, 286, 335, 71
145, 286, 335, 72
145, 286, 335, 73
145, 286, 336, 70
145, 286, 339, 70
145, 287, 328, 72
145, 287, 331, 72
145, 287, 335, 67
145, 287, 336, 69
145, 287, 336, 70
145, 287, 336, 71
145, 287, 336, 72
145, 287, 339, 69
145, 287, 339, 70
145, 287, 339, 71
145, 287, 339, 72
145, 288, 328, 68
145, 288, 328, 69
145, 288, 331, 69
145, 288, 335, 67
145, 288, 335, 68
145, 288, 335, 69
145, 288, 335, 70
145, 288, 335, 71
145, 288, 335, 72
145, 289, 328, 70
145, 289, 328, 72
145, 289, 332, 70
145, 289, 333, 72
145, 289, 334, 69
145, 289, 335, 69
145, 289, 335, 72
145, 289, 335, 73
145, 290, 328, 71
145, 290, 333, 69
145, 290, 333, 70
145, 290, 333, 71
145, 290, 334, 72
145, 290, 334, 73
145, 290, 335, 70
145, 290, 335, 71
145, 291, 334, 71
146, 287, 328, 67
147, 930, 545, 73
147, 930, 546, 73
148, 288, 328, 73
149, 287, 334, 74
150, 761, 142, 105
151, 307, 107, 171
152, 553, 794, 181
152, 553, 795, 181
152, 554, 793, 181
152, 555, 794, 181
152, 555, 795, 181
153, 548, 796, 184
